stateU
Overall Average Log Likelihood: 23.025850929940457, Time: 0.0
Overall Average Log Likelihood: 20.269721230647587, Time: 30.0
Overall Average Log Likelihood: 18.897478893479338, Time: 60.0
Overall Average Log Likelihood: 14.818376111345332, Time: 300.0
Overall Average Log Likelihood: 13.416846192334932, Time: 900.0
Overall Average Log Likelihood: 11.986063431297625, Time: 3600.0
Overall Average Log Likelihood: 9.135041677602725, Time: 14400.0
Overall Average Log Likelihood: 7.7807369913694115, Time: 84600.0

stateH
Overall Average Log Likelihood: 23.025850929940457, Time: 0.0
Overall Average Log Likelihood: 18.95662237528703, Time: 30.0
Overall Average Log Likelihood: 17.520847189387663, Time: 60.0
Overall Average Log Likelihood: 13.388521557045951, Time: 300.0
Overall Average Log Likelihood: 9.283748302093981, Time: 900.0
Overall Average Log Likelihood: 9.054533086725245, Time: 3600.0
Overall Average Log Likelihood: 7.730538221581354, Time: 14400.0
Overall Average Log Likelihood: 7.658423031036283, Time: 84600.0

0.5/0.5
Overall Average Log Likelihood: 23.025850929940457, Time: 0.0
Overall Average Log Likelihood: 20.205612100337834, Time: 30.0
Overall Average Log Likelihood: 16.4785047915969, Time: 60.0
Overall Average Log Likelihood: 13.47770392941634, Time: 300.0
Overall Average Log Likelihood: 12.288738788971516, Time: 900.0
Overall Average Log Likelihood: 9.203221526262746, Time: 3600.0
Overall Average Log Likelihood: 9.010561870471438, Time: 14400.0
Overall Average Log Likelihood: 7.698245766255668, Time: 84600.0

0.1/0.9
Overall Average Log Likelihood: 23.025850929940457, Time: 0.0
Overall Average Log Likelihood: 18.975412277961343, Time: 30.0
Overall Average Log Likelihood: 16.391800059465247, Time: 60.0
Overall Average Log Likelihood: 13.397523377306365, Time: 300.0
Overall Average Log Likelihood: 9.357291369937663, Time: 900.0
Overall Average Log Likelihood: 9.070200025979519, Time: 3600.0
Overall Average Log Likelihood: 7.965032137434037, Time: 14400.0
Overall Average Log Likelihood: 7.664611221768025, Time: 84600.0

0.9/0.1
Overall Average Log Likelihood: 23.025850929940457, Time: 0.0
Overall Average Log Likelihood: 20.24758486591956, Time: 30.0
Overall Average Log Likelihood: 18.88812248692866, Time: 60.0
Overall Average Log Likelihood: 14.810209023973918, Time: 300.0
Overall Average Log Likelihood: 13.40137817141277, Time: 900.0
Overall Average Log Likelihood: 11.968609024144131, Time: 3600.0
Overall Average Log Likelihood: 9.094925504935885, Time: 14400.0
Overall Average Log Likelihood: 7.757952187650915, Time: 84600.0



0.9/0.1 old noise
Overall Average Log Likelihood: 23.025850929940457, Time: 0.0
Overall Average Log Likelihood: 20.246937773232098, Time: 30.0
Overall Average Log Likelihood: 17.714367712962975, Time: 60.0
Overall Average Log Likelihood: 14.772272858357455, Time: 300.0
Overall Average Log Likelihood: 13.425615838250668, Time: 900.0
Overall Average Log Likelihood: 12.020779664460521, Time: 3600.0
Overall Average Log Likelihood: 9.518223273394339, Time: 14400.0
Overall Average Log Likelihood: 8.605321102009734, Time: 84600.0

Overall Average Log Likelihood: 23.025850929940457, Time: 0.0
Overall Average Log Likelihood: 20.245874655483487, Time: 30.0
Overall Average Log Likelihood: 17.229708747772058, Time: 60.0
Overall Average Log Likelihood: 15.204082357069959, Time: 300.0
