Results for nsp2_ref.pdb
Time30:55peptide,umlog‐lkhd  94.55
Time60:55peptide,umlog‐lkhd  96.60
Time180:55peptide,umlog‐lkhd  119.13
Time600:55peptide,umlog‐lkhd  238.87
Time1800:55peptide,umlog‐lkhd  365.07
Time3600:55peptide,umlog‐lkhd  415.05
Time7200:55peptide,umlog‐lkhd  339.98
Total:  1669.24
Avg:  4.3357
Time30:55peptide,umlog‐lkhd  94.55
Time60:55peptide,umlog‐lkhd  96.60
Time180:55peptide,umlog‐lkhd  119.13
Time600:55peptide,umlog‐lkhd  238.87
Time1800:55peptide,umlog‐lkhd  365.07
Time3600:55peptide,umlog‐lkhd  415.05
Time7200:55peptide,umlog‐lkhd  339.98
Total:  1669.24
Avg:  4.3357
------------------------------
Results for out_10seq-1-1.pdb
Time30:55peptide,umlog‐lkhd  143.18
Time60:55peptide,umlog‐lkhd  153.76
Time180:55peptide,umlog‐lkhd  184.81
Time600:55peptide,umlog‐lkhd  296.86
Time1800:55peptide,umlog‐lkhd  392.10
Time3600:55peptide,umlog‐lkhd  429.20
Time7200:55peptide,umlog‐lkhd  365.45
Total:  1965.37
Avg:  5.1049
Time30:55peptide,umlog‐lkhd  143.18
Time60:55peptide,umlog‐lkhd  153.76
Time180:55peptide,umlog‐lkhd  184.81
Time600:55peptide,umlog‐lkhd  296.86
Time1800:55peptide,umlog‐lkhd  392.10
Time3600:55peptide,umlog‐lkhd  429.20
Time7200:55peptide,umlog‐lkhd  365.45
Total:  1965.37
Avg:  5.1049
------------------------------
Results for out_10seq-1-2.pdb
Time30:55peptide,umlog‐lkhd  196.13
Time60:55peptide,umlog‐lkhd  200.45
Time180:55peptide,umlog‐lkhd  201.73
Time600:55peptide,umlog‐lkhd  291.21
Time1800:55peptide,umlog‐lkhd  401.47
Time3600:55peptide,umlog‐lkhd  451.12
------------------------------
Results for out_10seq-1-3.pdb
Time30:55peptide,umlog‐lkhd  116.59
Time60:55peptide,umlog‐lkhd  138.75
Time180:55peptide,umlog‐lkhd  192.00
Time600:55peptide,umlog‐lkhd  294.16
Time1800:55peptide,umlog‐lkhd  392.17
Time3600:55peptide,umlog‐lkhd  427.54
Time7200:55peptide,umlog‐lkhd  356.87
Total:  1918.08
Avg:  4.9820
Time30:55peptide,umlog‐lkhd  116.59
Time60:55peptide,umlog‐lkhd  138.75
Time180:55peptide,umlog‐lkhd  192.00
Time600:55peptide,umlog‐lkhd  294.16
Time1800:55peptide,umlog‐lkhd  392.17
Time3600:55peptide,umlog‐lkhd  427.54
Time7200:55peptide,umlog‐lkhd  356.87
Total:  1918.08
Avg:  4.9820
------------------------------
Results for out_10seq-1-4.pdb
Time30:55peptide,umlog‐lkhd  154.85
Time60:55peptide,umlog‐lkhd  174.38
Time180:55peptide,umlog‐lkhd  197.02
Time600:55peptide,umlog‐lkhd  286.37
Time1800:55peptide,umlog‐lkhd  375.95
