    0.996280522312001482E+00    0.371947768799853456E-02    0.142473736052387721E+04
    0.997009445091236457E+00    0.299055490876353391E-02    0.142519534650850187E+04
    0.998683454306744878E+00    0.131654569325514613E-02    0.142625138121877899E+04
    0.998683454306744878E+00    0.131654569325514613E-02    0.142625138121877899E+04
    0.998919628840883811E+00    0.108037115911622855E-02    0.142640084611656971E+04
    0.998919628840883811E+00    0.108037115911622855E-02    0.142640084611656971E+04
    0.999107964232537338E+00    0.892035767462727057E-03    0.142652012002174206E+04
    0.999107964232537338E+00    0.892035767462727057E-03    0.142652012002174206E+04
    0.999158696271103097E+00    0.841303728896904916E-03    0.142655226171907157E+04
    0.999279767176027955E+00    0.720232823972049132E-03    0.142662898913254185E+04
    0.999279767176027955E+00    0.720232823972049132E-03    0.142662898913254185E+04
    0.999370393761835896E+00    0.629606238164203639E-03    0.142668644302717485E+04
    0.999379657031884250E+00    0.620342968115861638E-03    0.142669231657343903E+04
    0.999399751870938879E+00    0.600248129061084143E-03    0.142670505869731232E+04
    0.999402997231133017E+00    0.597002768866958288E-03    0.142670711665796307E+04
    0.999417956228505266E+00    0.582043771494709233E-03    0.142671660280398601E+04
    0.999441106131154000E+00    0.558893868846008462E-03    0.142673128408773914E+04
    0.999771353799482898E+00    0.228646200517143165E-03    0.142694084484649829E+04
